Status	Category	Project Name	Client	Location	Area	Floors	Start Date	Completion Date	Ignore	Architect
Completed	Healthcare	ARAVIND EYE HOSPITAL	M/s. GOVEL Trust - Aravind Eye Hospitals	COIMBATORE	4,49,000 SFT	3&5	MAR' 2022	JAN' 2025	Completed	M/s. Design Collaborative Pvt.Ltd.
Completed	Healthcare	ARAVIND EYE HOSPITAL	M/s GOVEL Trust - Aravind Eye Hospitals	TIRUNELVELI	137500 SFT	5	OCT 2020	APR' 2023	Completed	M/s Design Collaborative Pvt.Ltd.
Completed	Healthcare	ARAVIND EYE HOSPITAL	M/s GOVEL Trust - Aravind Eye Hospitals	MADURAI	106000 SFT	5	APR'2008	AUG'2009	Completed	M/s. Auroservice Consultants Private Limited
Completed	Healthcare	ARAVIND EYE HOSPITAL	M/s GOVEL Trust - Aravind Eye Hospitals	SALEM	1,40,700 SFT	8	FEB 2024	MAR'2025	Completed	M/s. Design Collaborative Pvt.Ltd.
Completed	Healthcare	BS SURGICARE INDIA PVT LTD	BS SURGICARE INDIA PVT LTD	OOTY	31000 SFT	2	Feb' 2019	Mar' 2021	Completed	M/s. Cuboid Architecture
Completed	Healthcare	Construction of "C" wing extension Building	M/s Meenakshi Mission Hospital and ...	Madurai	75,000.	GROUND + 6 FLOORS	AUG'2009	AUG'2010	Completed	Client Engineer
Completed	Healthcare	Construction of Clinic Building	M/s VADAMALAYAN HOSPITALS PVT...	Chokkikulam, Madurai	20,000.	GROUND + 3 FLOORS	DEC'2014	DEC' 2015	Completed	M/s. Infrabees Management Consultancy
Completed	Healthcare	Construction of Hospital building and staff...	M/s GOVEL Trust - Aravind Eye Hospital	Tiruppur, Coimbatore	25,000.	GROUND + 2 FLOORS	JUN '2009	MAR '2010	Completed	M/s. Gowtham Architects, 95-A, Vysial st...
Completed	Healthcare	Construction of Out patient block	M/s. Kovai Medical Center and Hospital	Coimbatore	1,60,000.	B+GF + 6 floors	SEP 2022	JAN 2026	Completed	M/s. SANKAR & ASSOCIATES 27, ...
Completed	Healthcare	DR.MANOHARAN-HOSPITAL	DR.MANOHARAN-HOSPITAL , DESIGN...	COIMBATORE	35000 SFT	3	Jan' 2018	Nov' 2021	Completed	M/s. Design Forum India Private Limited, 
