Status	Category	Project Name	Client	Location	Area	Floors	Start Date	Completion Date	Ignore	Architect
Completed	Institutional	ADITHYA CBSE SCHOOL	ADITYA EDUCATIONAL TRUST	COIMBATORE	141000 SFT	2	MAR'2014	JAN' 2015	Completed	M/s.Sundar Sundaram Architects
Completed	Institutional	ADITHYA INSTITUTE OF TECHNOLOGY	ADITYA EDUCATIONAL TRUST	COIMBATORE	325000 SFT	4	FEB' 2008	AUG'2009	Completed	M/s. Jeyakumar Associates
Completed	Institutional	ADITYA INSTITUTE OF TECHNOLOGY	ADITYA EDUCATIONAL TRUST	COIMBATORE	37900 SFT	2	JUL' 2023	MAR'2025	Completed	Ms/. Vesta Architects
Completed	Institutional	ADITHYA MATRICULATION SCHOOL	ADITYA EDUCATIONAL TRUST	COIMBATORE	100000 SFT	2	MAR'2014	JAN' 2015	Completed	M/s. Sundar Sundaram Architects
Completed	Institutional	ADITYA SCHOOL HOSTEL BUILDING	ADITYA EDUCATIONAL TRUST	COIMBATORE	57000 SFT	2	NOV' 2017	DEC' 2018	Completed	Ms/. Vesta Architects
Completed	Institutional	ADITYA SCHOOL HOSTEL BUILDING	ADITYA EDUCATIONAL TRUST	COIMBATORE	34000 SFT	2	DEC' 2019	JAN' 2021	Completed	Ms/. Vesta Architects
Completed	Institutional	ARJUN COLLEGE OF TECHNOLOGY	ARJUN EDUCATIONAL TRUST	COIMBATORE	100000 SFT	3	OCT' 2012	NOV' 2014	Completed	M/s. Jeyakumar Associates
Completed	Institutional	Civil and allied works	Systematic Conscom Limited No.8, ...	Sriyazhavakkam, Chennai	8,000.	GF FLOOR	JUN' 2024	MAR' 2025	Completed	M/s. Arvind gupta Consultants, E - 296, ...
Completed	Institutional	Construction of Additional Buildings	M/s. Karuppiah Pillai Thevanai Ammal...	Kidaripatti village, Madurai	72,000.	GROUND+ 3 FLOORS	MAR'2009	MAR'2011	Completed	Client Engineer
Completed	Institutional	Construction of Admin Block Extension	Sri Ranganathar Trust	Athipalayam, Coimbatore	49,000.	GF + 2 Floors	SEP 2023	MAR' 2025	Completed	Ms/. Vesta Architects, No: 252, Avinashi ...
Completed	Institutional	Construction of Arjun College of...	ARJUN EDUCATIONAL TRUST	Chettiyakkapalayam, Tamarai...	40,000.	GROUND + FIRST	FEB'2015	AUG' 2015	Completed	Ms. JP Associates, No: 69, KPN Colony, 4th...
